,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards_Won,Awards_Nominated,PrimeAwards_Won,OscarAwards_Won,OscarAwards_Nominations,GoldenGlobeAwards_Won,GoldenGlobeAwards_Nominations,PrimeAwards_Nominations,BaftaAwards_Won,BaftaAwards_Nominations,Awards Won Or Nominated
44,0,1 h,series,0,0.0,tt0283165,0,0,0,0,0,0,0,0,0,0,0
45,0,120 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyODIyNjQyOV5BMl5BanBnXkFtZTcwODI1MTgyMQ@@._V1_SX300.jpg,98.0,tt0283535,0,0,0,0,0,0,0,0,0,0,0
46,0,60 min,series,http://ia.media-imdb.com/images/M/MV5BMTg5ODM5NjE5MV5BMl5BanBnXkFtZTgwNDk2NjgwMzE@._V1_SX300.jpg,13.0,tt0283714,0,0,0,0,0,0,0,0,0,0,0
47,6 wins & 1 nomination.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM2NzI3OTI0MV5BMl5BanBnXkFtZTcwNTY1MTEzMQ@@._V1_SX300.jpg,422.0,tt0283941,6,1,0,0,0,0,0,0,0,0,7
48,0,90 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgzNjE4NTUwN15BMl5BanBnXkFtZTcwMjQ2MDYyMQ@@._V1_SX300.jpg,127.0,tt0284035,0,0,0,0,0,0,0,0,0,0,0
49,0,0,movie,0,7.0,tt0284037,0,0,0,0,0,0,0,0,0,0,0
50,Won 2 Golden Globes. Another 68 wins & 201 nominations.,44 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTkyNzA0NF5BMl5BanBnXkFtZTcwMDYyMDUwMg@@._V1_SX300.jpg,148623.0,tt0285331,68,201,0,0,0,2,0,0,0,0,269
51,Won 1 Golden Globe. Another 31 wins & 143 nominations.,42 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NjE3ODc4MV5BMl5BanBnXkFtZTcwMjk2NjUzMQ@@._V1_SX300.jpg,38203.0,tt0285333,31,143,0,0,0,1,0,0,0,0,174
52,0,30 min,series,0,10.0,tt0285334,0,0,0,0,0,0,0,0,0,0,0
53,Nominated for 4 Primetime Emmys. Another 16 nominations.,30 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NjU1NDg1Ml5BMl5BanBnXkFtZTcwMTQ5OTg5NA@@._V1_SX300.jpg,29391.0,tt0285351,0,16,0,0,0,0,0,4,0,0,16
54,3 wins & 2 nominations.,60 min,series,0,208.0,tt0285356,3,2,0,0,0,0,0,0,0,0,5
55,0,45 min,series,0,28.0,tt0285657,0,0,0,0,0,0,0,0,0,0,0
56,3 wins & 6 nominations.,45 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BYjQ0MDVkMzItYTc2OS00Njc2LWE0N2YtOGY1MjBkZDI1ZGJiXkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_SX300.jpg,46.0,tt0286378,3,6,0,0,0,0,0,0,0,0,9
57,0,165 min,series,0,27.0,tt0287187,0,0,0,0,0,0,0,0,0,0,0
58,0,0,series,0,0.0,tt0287189,0,0,0,0,0,0,0,0,0,0,0
59,0,0,series,0,0.0,tt0287827,0,0,0,0,0,0,0,0,0,0,0
60,0,0,series,0,0.0,tt0287828,0,0,0,0,0,0,0,0,0,0,0
61,0,107 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTQwODA4MV5BMl5BanBnXkFtZTcwNjUzMDYyMQ@@._V1_SX300.jpg,737.0,tt0288276,0,0,0,0,0,0,0,0,0,0,0
62,2 wins.,105 min,movie,0,113.0,tt0288739,2,0,0,0,0,0,0,0,0,0,2
63,0,94 min,movie,0,24.0,tt0288798,0,0,0,0,0,0,0,0,0,0,0
64,0,0,series,0,7.0,tt0288910,0,0,0,0,0,0,0,0,0,0,0
65,0,0,series,0,8.0,tt0288911,0,0,0,0,0,0,0,0,0,0,0
66,0,10 min,movie,0,0.0,tt0289262,0,0,0,0,0,0,0,0,0,0,0
67,0,0,series,0,9.0,tt0289796,0,0,0,0,0,0,0,0,0,0,0
68,0,30 min,series,0,0.0,tt0289822,0,0,0,0,0,0,0,0,0,0,0
69,6 wins & 4 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNzAzNzIzNzIzOV5BMl5BanBnXkFtZTYwODYyMzY5._V1_SX300.jpg,1161.0,tt0290015,6,4,0,0,0,0,0,0,0,0,10
70,0,30 min,series,0,7.0,tt0290341,0,0,0,0,0,0,0,0,0,0,0
71,0,0,movie,0,14.0,tt0290909,0,0,0,0,0,0,0,0,0,0,0
72,7 wins & 6 nominations.,89 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MDcyNDk3Nl5BMl5BanBnXkFtZTYwMjU1MTQ3._V1_SX300.jpg,13249.0,tt0291502,7,6,0,0,0,0,0,0,0,0,13
73,0,0,movie,0,16.0,tt0291801,0,0,0,0,0,0,0,0,0,0,0
74,0,30 min,series,0,12.0,tt0292403,0,0,0,0,0,0,0,0,0,0,0
75,0,60 min,series,0,0.0,tt0292408,0,0,0,0,0,0,0,0,0,0,0
76,9 wins & 30 nominations.,45 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MTYzMTU3OV5BMl5BanBnXkFtZTcwNTE3NTUzMQ@@._V1_SX300.jpg,3515.0,tt0292414,9,30,0,0,0,0,0,0,0,0,39
77,0,90 min,movie,0,0.0,tt0292622,0,0,0,0,0,0,0,0,0,0,0
78,0,105 min,movie,0,139.0,tt0292698,0,0,0,0,0,0,0,0,0,0,0
79,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,30 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BODk5NmE4YTUtZmUwNi00NzlhLWEyMmMtN2VlZTE3NzBkMGQ2XkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_SX300.jpg,13380.0,tt0292800,1,6,1,0,0,0,0,0,0,0,7
80,0,60 min,series,0,87.0,tt0292816,0,0,0,0,0,0,0,0,0,0,0
81,0,20 min,series,0,19.0,tt0293723,0,0,0,0,0,0,0,0,0,0,0
82,0,0,series,0,0.0,tt0293989,0,0,0,0,0,0,0,0,0,0,0
83,0,0,series,0,0.0,tt0294000,0,0,0,0,0,0,0,0,0,0,0
84,1 nomination.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BOTExMjY4OGYtOTNiMC00ZGM4LTg4ZDUtMzEzMWFhZjMyYjg4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,147.0,tt0294362,0,1,0,0,0,0,0,0,0,0,1
85,0,0,movie,0,0.0,tt0294517,0,0,0,0,0,0,0,0,0,0,0
86,0,0,series,0,0.0,tt0295067,0,0,0,0,0,0,0,0,0,0,0
87,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,161 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_SX300.jpg,395740.0,tt0295297,11,39,0,0,0,0,0,0,0,3,50
88,6 nominations.,93 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNzQyMzMxMF5BMl5BanBnXkFtZTcwNzU1MjIyMQ@@._V1_SX300.jpg,393.0,tt0295613,0,6,0,0,0,0,0,0,0,0,6
89,0,0,series,http://ia.media-imdb.com/images/M/MV5BMzU5MTY0MDE2NF5BMl5BanBnXkFtZTcwMTM0MjAyMQ@@._V1_SX300.jpg,204.0,tt0295863,0,0,0,0,0,0,0,0,0,0,0
90,1 win & 4 nominations.,60 min,series,0,78.0,tt0296307,1,4,0,0,0,0,0,0,0,0,5
91,2 wins & 5 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BN2YzMzc1MDUtYzE0OS00MWQwLWI0MTEtNWU1ZWM2NTI2NGIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,42123.0,tt0297181,2,5,0,0,0,0,0,0,0,0,7
92,0,0,series,0,97.0,tt0297482,0,0,0,0,0,0,0,0,0,0,0
93,0,0,series,0,9.0,tt0297486,0,0,0,0,0,0,0,0,0,0,0
94,14 wins & 11 nominations.,115 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,255973.0,tt0298130,14,11,0,0,0,0,0,0,0,0,25
95,0,23 min,series,http://ia.media-imdb.com/images/M/MV5BMTY3ODQ3ODg2M15BMl5BanBnXkFtZTYwNDMxODc5._V1_SX300.jpg,0.0,tt0298244,0,0,0,0,0,0,0,0,0,0,0
96,0,90 min,movie,0,5.0,tt0298380,0,0,0,0,0,0,0,0,0,0,0
97,1 win & 1 nomination.,30 min,series,http://ia.media-imdb.com/images/M/MV5BMTM2MzMyOTUyN15BMl5BanBnXkFtZTcwMjI3MTcyMQ@@._V1_SX300.jpg,175.0,tt0298617,1,1,0,0,0,0,0,0,0,0,2
98,0,30 min,series,http://ia.media-imdb.com/images/M/MV5BMTM2NzYyMTQyMV5BMl5BanBnXkFtZTcwODY0OTUxMQ@@._V1_SX300.jpg,107.0,tt0299233,0,0,0,0,0,0,0,0,0,0,0
99,0,0,series,http://ia.media-imdb.com/images/M/MV5BMTY2NjkyNDY0NF5BMl5BanBnXkFtZTcwMzc5NjcyMQ@@._V1_SX300.jpg,0.0,tt0299236,0,0,0,0,0,0,0,0,0,0,0
100,0,30 min,series,0,389.0,tt0299285,0,0,0,0,0,0,0,0,0,0,0
101,0,1 h,series,0,0.0,tt0299486,0,0,0,0,0,0,0,0,0,0,0
102,1 win & 2 nominations.,99 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMzOTc2NDQ3MV5BMl5BanBnXkFtZTcwMzgyNDQyMQ@@._V1_SX300.jpg,617.0,tt0299547,1,2,0,0,0,0,0,0,0,0,3
103,0,5 min,movie,0,15.0,tt0299867,0,0,0,0,0,0,0,0,0,0,0
104,0,60 min,movie,0,0.0,tt0300405,0,0,0,0,0,0,0,0,0,0,0
105,0,0,series,0,16.0,tt0300704,0,0,0,0,0,0,0,0,0,0,0
106,0,30 min,series,0,0.0,tt0300711,0,0,0,0,0,0,0,0,0,0,0
107,0,22 min,series,http://ia.media-imdb.com/images/M/MV5BMTMyMDA4Nzk2NV5BMl5BanBnXkFtZTcwMDM5MjI3MQ@@._V1_SX300.jpg,11.0,tt0300713,0,0,0,0,0,0,0,0,0,0,0
108,0,30 min,series,0,0.0,tt0300725,0,0,0,0,0,0,0,0,0,0,0
109,0,30 min,series,0,98.0,tt0300727,0,0,0,0,0,0,0,0,0,0,0
110,0,90 min,movie,0,36.0,tt0301157,0,0,0,0,0,0,0,0,0,0,0
111,0,42 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTc3NjA5MDYxNF5BMl5BanBnXkFtZTcwMTY4MzEyMQ@@._V1_SX300.jpg,483.0,tt0301246,0,0,0,0,0,0,0,0,0,0,0
112,0,30 min,series,0,19.0,tt0302066,0,0,0,0,0,0,0,0,0,0,0
113,0,0,series,0,5.0,tt0303418,0,0,0,0,0,0,0,0,0,0,0
114,0,30 min,series,http://ia.media-imdb.com/images/M/MV5BMjQxMzY3NjgzOV5BMl5BanBnXkFtZTgwODUyNjgwMzE@._V1_SX300.jpg,70.0,tt0303419,0,0,0,0,0,0,0,0,0,0,0
115,0,0,series,0,29.0,tt0303420,0,0,0,0,0,0,0,0,0,0,0
116,2 nominations.,70 min,series,0,255.0,tt0303421,0,2,0,0,0,0,0,0,0,0,2
117,3 wins & 3 nominations.,446 min,series,0,20.0,tt0303430,3,3,0,0,0,0,0,0,0,0,6
118,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,45 min,series,http://ia.media-imdb.com/images/M/MV5BMTgwMzg4Nzc2NV5BMl5BanBnXkFtZTYwNjMzNTk5._V1_SX300.jpg,127.0,tt0303635,2,14,0,0,0,0,1,0,0,0,16
119,0,0,movie,0,15.0,tt0303881,0,0,0,0,0,0,0,0,0,0,0
120,0,0,movie,0,13.0,tt0304058,0,0,0,0,0,0,0,0,0,0,0
121,2 wins.,44 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUyNzQyOTU1NF5BMl5BanBnXkFtZTcwMjgxMTcxMQ@@._V1_SX300.jpg,29.0,tt0304649,2,0,0,0,0,0,0,0,0,0,2
122,0,33 min,movie,0,79.0,tt0305176,0,0,0,0,0,0,0,0,0,0,0
123,0,26 min,movie,0,7.0,tt0305963,0,0,0,0,0,0,0,0,0,0,0
124,0,0,game,https://images-na.ssl-images-amazon.com/images/M/MV5BNWRjNTczN2MtZTgwYi00YmE2LTlkZjAtMmQwYzYzY2ZiMGZiXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,106.0,tt0306021,0,0,0,0,0,0,0,0,0,0,0
125,0,50 min,movie,0,11.0,tt0306272,0,0,0,0,0,0,0,0,0,0,0
126,0,30 min,series,0,92.0,tt0306273,0,0,0,0,0,0,0,0,0,0,0
127,0,30 min,series,http://ia.media-imdb.com/images/M/MV5BMjAzMzI1Mjk1OF5BMl5BanBnXkFtZTcwMDAzNzUyMQ@@._V1_SX300.jpg,40.0,tt0306276,0,0,0,0,0,0,0,0,0,0,0
128,0,30 min,series,http://ia.media-imdb.com/images/M/MV5BMjAwMDY3MjI0OF5BMl5BanBnXkFtZTgwNDcxNjgwMzE@._V1_SX300.jpg,224.0,tt0306306,0,0,0,0,0,0,0,0,0,0,0
129,0,58 min,movie,0,44.0,tt0306851,0,0,0,0,0,0,0,0,0,0,0
130,0,94 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NTM5NDg0Nl5BMl5BanBnXkFtZTcwMjMwMTkyMQ@@._V1_SX300.jpg,200.0,tt0307180,0,0,0,0,0,0,0,0,0,0,0
131,0,0,series,0,0.0,tt0307707,0,0,0,0,0,0,0,0,0,0,0
132,0,60 min,series,0,7.0,tt0307714,0,0,0,0,0,0,0,0,0,0,0
133,0,0,series,0,35.0,tt0307715,0,0,0,0,0,0,0,0,0,0,0
134,Nominated for 1 Primetime Emmy. Another 1 nomination.,30 min,series,http://ia.media-imdb.com/images/M/MV5BOTgxNzYwMzg1OV5BMl5BanBnXkFtZTcwMjY5NzIzMg@@._V1_SX300.jpg,1377.0,tt0307716,0,1,0,0,0,0,0,1,0,0,1
135,3 wins & 1 nomination.,200 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNWEwOGNlMjktYjhiZC00ZWMwLTg3OTMtMjA5ODUxMWYzNWFmXkEyXkFqcGdeQXVyNjU1NzIzMTc@._V1_SX300.jpg,525.0,tt0307734,3,1,0,0,0,0,0,0,0,0,4
136,0,30 min,series,0,0.0,tt0307752,0,0,0,0,0,0,0,0,0,0,0
137,0,0,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzNjAwNDAyMV5BMl5BanBnXkFtZTYwMjg1Mzc5._V1_SX300.jpg,62.0,tt0308236,0,0,0,0,0,0,0,0,0,0,0
138,1 win & 1 nomination.,0,series,0,70.0,tt0309122,1,1,0,0,0,0,0,0,0,0,2
139,1 nomination.,30 min,series,http://ia.media-imdb.com/images/M/MV5BMTkxNzY0NTc3Nl5BMl5BanBnXkFtZTcwMzkzODkyMQ@@._V1_SX300.jpg,158.0,tt0309125,0,1,0,0,0,0,0,0,0,0,1
140,0,27 min,series,0,0.0,tt0309130,0,0,0,0,0,0,0,0,0,0,0
141,0,10 min,series,0,0.0,tt0310410,0,0,0,0,0,0,0,0,0,0,0
142,0,0,series,0,0.0,tt0310411,0,0,0,0,0,0,0,0,0,0,0
143,0,52 min,series,0,0.0,tt0310413,0,0,0,0,0,0,0,0,0,0,0
144,0,60 min,series,http://ia.media-imdb.com/images/M/MV5BMjQ5MjM0NmQtMTU2OS00Mjc2LWJhOWMtYmYwMjZmYWZkZDc5XkEyXkFqcGdeQXVyNjc3OTQ5MjE@._V1_SX300.jpg,39.0,tt0310416,0,0,0,0,0,0,0,0,0,0,0
145,0,142 min,movie,0,10.0,tt0310594,0,0,0,0,0,0,0,0,0,0,0
146,2 wins.,58 min,movie,0,18.0,tt0311087,2,0,0,0,0,0,0,0,0,0,2
147,0,45 min,series,0,0.0,tt0312087,0,0,0,0,0,0,0,0,0,0,0
148,0,0,movie,0,39.0,tt0312338,0,0,0,0,0,0,0,0,0,0,0
149,0,0,movie,0,0.0,tt0312662,0,0,0,0,0,0,0,0,0,0,0
150,1 nomination.,0,series,0,11.0,tt0313025,0,1,0,0,0,0,0,0,0,0,1
151,0,30 min,series,http://ia.media-imdb.com/images/M/MV5BMjA5ODY3OTg4MV5BMl5BanBnXkFtZTcwMjkxODAyMg@@._V1_SX300.jpg,71.0,tt0313034,0,0,0,0,0,0,0,0,0,0,0
152,9 wins & 8 nominations.,60 min,series,http://ia.media-imdb.com/images/M/MV5BNzg2Njc4MjY2MF5BMl5BanBnXkFtZTgwNzUxOTQxMDE@._V1_SX300.jpg,4349.0,tt0313038,9,8,0,0,0,0,0,0,0,0,17
153,0,30 min,series,0,0.0,tt0313062,0,0,0,0,0,0,0,0,0,0,0
154,0,85 min,movie,0,9.0,tt0313871,0,0,0,0,0,0,0,0,0,0,0
155,0,5 min,movie,0,0.0,tt0314943,0,0,0,0,0,0,0,0,0,0,0
156,0,30 min,series,0,28.0,tt0314971,0,0,0,0,0,0,0,0,0,0,0
157,0,60 min,series,http://ia.media-imdb.com/images/M/MV5BMTIwNDg2MzM2Nl5BMl5BanBnXkFtZTcwNTkwNDYyMQ@@._V1_SX300.jpg,31.0,tt0314972,0,0,0,0,0,0,0,0,0,0,0
158,0,0,series,0,0.0,tt0314973,0,0,0,0,0,0,0,0,0,0,0
159,0,0,series,0,5.0,tt0314976,0,0,0,0,0,0,0,0,0,0,0
160,0,0,series,0,319.0,tt0315645,0,0,0,0,0,0,0,0,0,0,0
161,0,45 min,movie,0,0.0,tt0315646,0,0,0,0,0,0,0,0,0,0,0
162,1 win.,0,series,0,6.0,tt0315722,1,0,0,0,0,0,0,0,0,0,1
163,0,0,movie,0,22.0,tt0316110,0,0,0,0,0,0,0,0,0,0,0
164,1 win.,0,movie,0,0.0,tt0316602,1,0,0,0,0,0,0,0,0,0,1
165,0,45 min,series,0,0.0,tt0316965,0,0,0,0,0,0,0,0,0,0,0
166,15 wins & 4 nominations.,87 min,movie,http://ia.media-imdb.com/images/M/MV5BMTIxODkwNTAzN15BMl5BanBnXkFtZTcwMzcyOTUyMQ@@._V1_SX300.jpg,2121.0,tt0317842,15,4,0,0,0,0,0,0,0,0,19
167,1 win.,20 min,movie,0,33.0,tt0318038,1,0,0,0,0,0,0,0,0,0,1
